,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Naze,28.3667,129.4833,50.92,60,100,6.2,JP,1644185565
1,Saskylakh,71.9167,114.0833,-23.28,100,96,2.37,RU,1644185531
2,San Patricio,28.017,-97.5169,66.29,59,51,6.78,US,1644185272
3,Hermanus,-34.4187,19.2345,67.8,95,11,5.66,ZA,1644185566
4,Kapaa,22.0752,-159.319,79.12,72,75,3.0,US,1644185567
5,Albany,42.6001,-73.9662,25.27,67,78,1.99,US,1644185356
6,Kattivākkam,13.2167,80.3167,79.07,77,98,6.71,IN,1644185567
7,Richards Bay,-28.783,32.0377,70.75,93,38,1.54,ZA,1644185568
8,Bredasdorp,-34.5322,20.0403,67.28,85,0,4.74,ZA,1644185569
9,Beaupré,47.0443,-70.8953,11.95,75,100,1.01,CA,1644185570
10,Aklavik,68.2191,-135.0107,-16.64,92,100,19.39,CA,1644185570
11,Chokurdakh,70.6333,147.9167,-40.22,100,86,2.51,RU,1644185571
12,Caravelas,-17.7125,-39.2481,78.03,83,6,7.45,BR,1644185571
13,Bluff,-46.6,168.3333,55.8,63,1,7.67,NZ,1644185572
14,Hualmay,-11.0964,-77.6139,73.47,71,83,8.46,PE,1644185572
15,Jamestown,42.097,-79.2353,33.71,32,0,10.36,US,1644185564
16,Talnakh,69.4865,88.3972,-27.72,99,55,1.63,RU,1644185503
17,Ushuaia,-54.8,-68.3,62.22,81,100,6.8,AR,1644185444
18,Ribeira Grande,38.5167,-28.7,61.43,84,11,9.17,PT,1644185574
19,Hobart,-42.8794,147.3294,63.27,77,20,1.01,AU,1644185406
20,Nuuk,64.1835,-51.7216,5.61,56,75,17.27,GL,1644185396
21,Chui,-33.6971,-53.4616,68.52,47,7,13.09,UY,1644185576
22,Pevek,69.7008,170.3133,-24.14,99,23,0.4,RU,1644185576
23,Touros,-5.1989,-35.4608,81.5,72,1,12.48,BR,1644185577
24,Bathsheba,13.2167,-59.5167,79.41,73,75,16.11,BB,1644185577
25,Punta Arenas,-53.15,-70.9167,69.82,72,75,8.05,CL,1644185578
26,Isangel,-19.55,169.2667,80.04,90,100,13.96,VU,1644185579
27,Nantucket,41.2835,-70.0995,30.31,65,20,8.05,US,1644185441
28,Sola,-13.8833,167.55,82.92,77,100,17.45,VU,1644185579
29,Geraldton,-28.7667,114.6,68.41,60,100,14.97,AU,1644185580
30,Kamenka,51.3223,42.7678,26.74,96,97,6.93,RU,1644185581
31,Tasiilaq,65.6145,-37.6368,21.36,59,100,44.74,GL,1644185581
32,Yellowknife,62.456,-114.3525,0.41,91,100,10.36,CA,1644185582
33,Guerrero Negro,27.9769,-114.0611,68.85,22,0,9.95,MX,1644185582
34,Bengkulu,-3.8004,102.2655,75.56,88,100,9.28,ID,1644185583
35,Lianzhou,24.7811,112.3825,52.03,99,100,1.59,CN,1644185583
36,Agen,44.2,0.6333,50.5,87,100,11.5,FR,1644185584
